name,gender,birthyear,hpi,group
Maria Callas,F,1923,84.45477789690479,28
Josef Mengele,M,1911,84.44347660923151,28
Thomas the Apostle,M,1,84.44299938814596,9
Husayn ibn Ali,M,626,84.43741225103528,15
Akira Kurosawa,M,1910,84.43047629111469,28
Aeschylus,M,-525,84.42690015694959,3
Marc Chagall,M,1887,84.42391217660212,27
Al-Farabi,M,872,84.41432075153696,17
Brigitte Bardot,F,1934,84.41007299882106,28
Morgan Freeman,M,1937,84.40889424966643,28
Gustavus Adolphus of Sweden,M,1594,84.40194940620076,24
Romulus Augustulus,M,460,84.36916566763931,13
Arthur Rimbaud,M,1854,84.36101841071563,27
Michel Foucault,M,1926,84.3444230644318,28
Martin Luther King Jr.,M,1929,84.34345901410042,28
Hermann Göring,M,1893,84.33429799560034,27
Aisha,F,605,84.31914736474526,15
Giovanni Pierluigi da Palestrina,M,1520,84.3157966719678,24
Karl Popper,M,1902,84.290572713742975,28
Matsuo Bashō,M,1644,84.28861744375318,25
Vitruvius,M,-75,84.28337240431189,8
Pope Alexander VI,M,1431,84.28289437009285,23
Isaiah,M,-800,84.27578771973624,1
Elizabeth Báthory,F,1560,84.26956058955918,24
Sima Qian,M,-145,84.26085507212312,7
"Ferdinand I, Holy Roman Emperor",M,1503,84.2506470983665,24
Werner Heisenberg,M,1901,84.24002646921403,28
Mehmed III,M,1566,84.23945782349271,24
Rabindranath Tagore,M,1861,84.23327091743879,27
Benedict of Nursia,M,480,84.23267331657341,13
Francis Drake,M,1540,84.22909697915092,24
Ayn Rand,F,1905,84.20483166708165,28
Pope Clement VII,M,1478,84.190686324242,23
Hesiod,M,-800,84.17019595509676,1
Skanderbeg,M,1405,84.16607599732303,23
Hector Berlioz,M,1803,84.16132593157276,27
Evangelista Torricelli,M,1608,84.15136580219622,25
Li Bai,M,701,84.15035415903341,16
"Maximilian I, Holy Roman Emperor",M,1459,84.1406682827765,23
Robert Koch,M,1843,84.13456158425446,27
Deng Xiaoping,M,1904,84.13237889828561,28
Sun Yat-sen,M,1866,84.1230049105621,27
Simón Bolívar,M,1783,84.11728931012809,26
Strabo,M,-64,84.11371042715726,8
Maurice Ravel,M,1875,84.11278011481386,27
Jean-Auguste-Dominique Ingres,M,1780,84.1020993041425,26
Henri Becquerel,M,1852,84.09439997520084,27
Richard Nixon,M,1913,84.08660607992974,28
Bayezid I,M,1354,84.08078087366268,22
Protagoras,M,-486,84.07940943276668,4
Themistocles,M,-524,84.07560236429866,3
Hannah Arendt,F,1906,84.06804672370083,28
Margrethe II of Denmark,F,1940,84.06291730037499,28
Gustave Eiffel,M,1832,84.05539173189564,27
Pablo Neruda,M,1904,84.05295043162285,28
Francisco Pizarro,M,1478,84.04410688988216,23
Cecil Rhodes,M,1853,84.03890147698925,27
Kublai Khan,M,1215,84.03842850750726,21
Pope John XXIII,M,1881,84.02614634013948,27
Darius III,M,-380,84.02562517439023,5
Guglielmo Marconi,M,1874,84.01916938119535,27
Fibonacci,M,1170,84.01170341440307,20
Tacitus,M,54,84.00721017872016,9
Paul von Hindenburg,M,1847,84.00565226086988,27
Thomas Robert Malthus,M,1766,83.99629415624064,26
Bayezid II,M,1447,83.98646311756441,23
Livy,M,-59,83.97345536558797,8
Anders Celsius,M,1701,83.95785693600071,26
Henri Bergson,M,1859,83.95553373968025,27
Arnold Schwarzenegger,M,1947,83.94818873834282,28
Hosni Mubarak,M,1928,83.94536572755544,28
Saint Valentine,M,226,83.94303378159599,11
Charles Perrault,M,1628,83.93226214870172,25
Mata Hari,F,1876,83.93131337516564,27
Al Capone,M,1899,83.92900882699047,27
Jerome,M,345,83.91678686446922,12
Helena,F,250,83.91228768732236,11
Amedeo Modigliani,M,1884,83.90845418111361,27
Louis Armstrong,M,1901,83.90385566813035,28
Jacques-Louis David,M,1748,83.89732396039446,26
Kirk Douglas,M,1916,83.89697634619638,28
Abdul Hamid II,M,1842,83.89647718872324,27
Warren Buffett,M,1930,83.88868465713735,28
Louis the Pious,M,778,83.8864169408412,16
Saint Stephen,M,1,83.88510194280595,9
Bedřich Smetana,M,1824,83.87857349377344,27
Giotto,M,1267,83.87496924621598,21
Francis I of France,M,1494,83.87448544777592,23
Bernhard Riemann,M,1826,83.86813229718376,27
Marlene Dietrich,F,1901,83.86646898644743,28
Isaac Asimov,M,1920,83.85142450183152,28
Roman Polanski,M,1933,83.85093237991418,28
Ingmar Bergman,M,1918,83.83776339374647,28
Augusto Pinochet,M,1915,83.82368890976933,28
Jack London,M,1876,83.82220361554393,27
Murad I,M,1326,83.81325170941702,22
Caracalla,M,188,83.81219913554206,10
Lewis Carroll,M,1832,83.8116839868141,27
Antonio Stradivari,M,1644,83.80816648641067,25
Joseph Goebbels,M,1897,83.80257484948628,27
Romain Rolland,M,1866,83.80046355250782,27
Jack Nicholson,M,1937,83.79358649918163,28
Saint Anne,F,-100,83.7929298570653,8
